Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6,Q6_6_TEXT,Q7,Q7_14_TEXT,Q8_4,Q9,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27_2,Q28,Q29,Q30_4,Q31,Q32_4,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q35,Q36,Q37,Q38,Q39,Q39_44_TEXT,Q40,Q41,Q41_19_TEXT,Q42,Q43,Q44,Q45,Q46,Q46_101_TEXT,Finished
Yes,Yes,Nonequity,Yes,Bonus,,"Discretionary, based on firm performance",,"Long-term disability,Life insurance",,,No,Organization doesn't compensate for overtime,,9,No,,Yes,Yes,Yes,Yes,800,1400,Decrease,Decrease,1000,300000,No,0,,-25,Very dissatisfied,Yes,20,Somewhat less,,Very dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Very dissatisfied,Mostly satisfied,Mostly dissatisfied,Somewhat important,Not important,Not important,Highly important,Not important,No,1500,400,3,Bankruptcy,,Western Europe,,,,Undisclosed,48,White,Georgetown University,,1
Yes,No,,Yes,"Nonequity incentive compensation,Cashouts",,"Formulaic, based on firm performance",,"Defined benefit pension plan,Dental,Short-term disability,Long-term disability,Life insurance",,,No,Time and a half,,9,Yes,unknown,Yes,,Yes,No,740,2700,Stay the same,Stay the same,600,1000000,No,0,,-40,Somewhat satisfied,Yes,25,Somewhat less,,Mostly dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Highly important,Highly important,Somewhat important,Highly important,Somewhat important,No,600,250,33,General Litigation,,United States,Denver,,80202,Male,64,White,University of Utah (Quinney),,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation",,"Formulaic, based on individual performance",,"401K,Cash balance pension plan,Medical,Dental,Long-term disability,Life insurance",,0,Yes,Organization doesn't compensate for overtime,,9,Yes,850000,No,No,Yes,Yes,1010,1438,Decrease,Stay the same,475,750000,No,435000,,3,Somewhat satisfied,Yes,15,Somewhat less,3,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Extremely important,Highly important,Not important,Extremely important,Not important,Yes,1300,800,13,Private Equity,,United States,Chicago,,60603,Female,61,White,Other,,1
Yes,Yes,Equity,Yes,"Bonus,Other",Base salary,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Dental,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,6,Yes,300000,No,Yes,Yes,No,425,1900,Increase,Stay the same,0,225000,No,200000,,20,Very dissatisfied,Yes,0.085,Somewhat less,22.5,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Highly important,Somewhat important,Somewhat important,Highly important,Somewhat important,No,300,156,16,Other (Please specify),Construction,United States,Other (Please specify),"Jacksonville, Florida",32202,Male,54,White,Vanderbilt University,,1
Yes,No,,Yes,Bonus,,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,3,No,Other,No overtime,5,No,,Yes,,Yes,No,550,1200,Decrease,Decrease,600,100000,No,0,,10,Very dissatisfied,Yes,33,Much less,,Very dissatisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Mostly satisfied,Mostly dissatisfied,Highly important,Not important,Somewhat important,Highly important,Somewhat important,No,700,350,38,Transportation,,United States,New York,,10006,Male,71,White,New York University,,1
Yes,Yes,Equity,No,Cashouts,,Other,"modified lockstep, measured by firm and individual performance with discretion of the comp. committee","401K,Profit sharing plan,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,50,Yes,Organization doesn't compensate for overtime,,9,Yes,"1,000,000",Yes,Yes,Yes,Yes,1100,2500,Increase,Decrease,1000,2250000,Yes,0,10,,Somewhat satisfied,No,,About the same,0,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Highly important,Somewhat important,Somewhat important,Highly important,Somewhat important,Yes,550,220,16,Other (Please specify),fund finance,United States,Dallas,,75202,Male,53,Asian,Georgetown University,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation",,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,9,Yes,700000,No,Yes,Yes,No,590,800,Decrease,Decrease,250,345000,No,dk,8,,Somewhat dissatisfied,No,,Somewhat more,0.1,Mostly dissatisfied,Mostly satisfied,Mostly dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Highly important,Somewhat important,Not important,Somewhat important,Not important,No,550,225,13,Commercial Contracts,,United States,Other (Please specify),Indianapolis,46204,Male,52,White,Other,,1
Yes,Yes,Nonequity,Yes,Bonus,,"Discretionary, based on firm performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,No,,Yes,No,Yes,No,635,1500,Increase,Increase,1000,260000,No,260000,,17,Somewhat satisfied,Yes,15,Much less,,Neither satisfied nor dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Highly important,Extremely important,Somewhat important,Highly important,Somewhat important,No,220,130,7,General Litigation,,United States,Other (Please specify),Cleveland,44114,Male,42,White,Other,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation,Cashouts",,"Formulaic, based on firm performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Car allowance,Gym/health club membership",,0,No,Organization doesn't compensate for overtime,,8,Yes,500000,No,No,Yes,No,275,2150,Stay the same,Stay the same,100,425000,Yes,"425,000",8,,Very satisfied,No,,Somewhat more,5,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Extremely important,Highly important,Highly important,Somewhat important,Highly important,Yes,145,45,10,Insurance,,United States,New York,,7068,Male,44,Asian,Seton Hall University,,1
Yes,Yes,Equity,Yes,,,Entirely discretionary,,"401K,Cash balance pension plan,Medical,Dental,Life insurance",,0,No,Time and a half,,7,No,,Yes,Yes,Yes,Yes,1240,727,Increase,Increase,1400,1000000,No,0,,0,Somewhat dissatisfied,Yes,10,Somewhat more,28,Mostly dissatisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly dissatisfied,Highly important,Highly important,Not important,Highly important,Somewhat important,Yes,925,225,22,Immigration,,United States,Los Angeles,,90017,Male,70,White,Wayne State University,,1
Yes,Yes,Nonequity,No,Nonequity incentive compensation,,"Formulaic, based on individual performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,7,No,,No,No,Yes,Yes,350,2025,Decrease,Stay the same,50,175000,Yes,0,8,,Somewhat dissatisfied,No,,Somewhat less,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Extremely important,Somewhat important,Not important,Extremely important,Somewhat important,Yes,900,250,1,Insurance,,United States,Chicago,,60606,Female,35,White,Other,,1
Yes,Yes,Equity,No,"Bonus,Other",Dividend at year-end for equity partners,"Discretionary, based on firm performance",,"401K,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,8,Yes,"550,000",No,No,Yes,No,595,1789,Increase,Stay the same,480,450000,Yes,375000,7,,Somewhat satisfied,Yes,20,Somewhat less,5,Mostly satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Highly important,Not important,Highly important,Extremely important,Extremely important,Yes,400,170,12,Other (Please specify),Employee Benefits,United States,Other (Please specify),"Portland, OR",97204,Female,47,White,Lewis & Clark College (Northwestern),,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation",,"Discretionary, based on firm performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,6,No,Time and a half,,10,Yes,300000,Yes,Yes,Yes,Yes,550,800,Increase,Increase,2500,,No,0,,0,Somewhat dissatisfied,Yes,30,Somewhat less,0,Mostly dissatisfied,Mostly satisfied,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Mostly dissatisfied,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Extremely important,Somewhat important,Not important,Highly important,Not important,Yes,500,300,25,General Litigation,,United States,Atlanta,,30303,Undisclosed,59,Prefer not to identify,University of Georgia,,1
Yes,Yes,Nonequity,No,,,Entirely discretionary,,"Medical,Dental,Long-term disability,Life insurance",,,No,Organization doesn't compensate for overtime,,9,Yes,450000,No,No,Yes,No,540,1700,Increase,Increase,500,290000,No,290000,3,,Very dissatisfied,Yes,20,Much less,,Very dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Highly important,Somewhat important,Not important,Extremely important,Not important,Yes,250,125,2,Other (Please specify),Construction,United States,Atlanta,,30309,Male,57,Prefer not to identify,Emory University,,1
Yes,Yes,Equity,No,Bonus,,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Cash balance pension plan,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,Yes,400000,Yes,Yes,Yes,No,400,2400,Stay the same,Decrease,300,700000,Yes,650000,7,,Very satisfied,Yes,15,Much more,4,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Yes,560,180,24,Product Liability,,United States,Other (Please specify),indianapolis,46204,Male,57,White,Indiana University--Bloomington (Maurer),,1
Yes,Yes,Nonequity,Yes,Bonus,,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Defined benefit pension plan,Medical,Dental,Short-term disability,Long-term disability",,10,No,Time and a half,,7,No,,No,No,Yes,Yes,415,2200,Decrease,Increase,120,225000,Yes,200000,,5,Neither satisfied or dissatisfied,No,,About the same,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Highly important,Highly important,Not important,Highly important,Highly important,Yes,200,100,5,Product Liability,,United States,Other (Please specify),Jackson,39211,Female,43,White,Other,,1
Yes,Yes,Equity,Yes,Bonus,,Entirely discretionary,,"401K,Medical,Dental,Short-term disability,Long-term disability",,3,No,Comp time,,9,Yes,450000,No,No,Yes,No,455,1705,Increase,Stay the same,900,463000,Yes,0,,5,Somewhat satisfied,No,,About the same,0,Mostly satisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Yes,275,120,16,Employment,,United States,Other (Please specify),Tampa,33602,Male,52,White,New York University,,1
Yes,Yes,Nonequity,No,Bonus,,Entirely discretionary,,"401K,Medical,Dental,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,No,,No,No,Yes,No,370,1700,Stay the same,Stay the same,300,170000,Yes,165000,7,,Somewhat dissatisfied,Yes,15,Somewhat less,,Mostly dissatisfied,Mostly satisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Very dissatisfied,Very dissatisfied,Mostly satisfied,Mostly satisfied,Highly important,Somewhat important,Highly important,Somewhat important,Somewhat important,No,110,65,1,Employment,,United States,Philadelphia,,19102,Female,33,White,Temple University (Beasley),,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation,Cashouts",,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Defined benefit pension plan,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,Yes,don't know,No,No,Yes,Yes,475,2100,Decrease,Increase,350,850000,Yes,n/a,,80,Somewhat satisfied,No,,Somewhat more,40,Mostly dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly dissatisfied,Very dissatisfied,Mostly satisfied,Very satisfied,Not important,Not important,Not important,Not important,Not important,No,750,400,4,General Litigation,,United States,Charlotte,,28202,Male,65,White,University of North Carolina--Chapel Hill,,1
Yes,Yes,Nonequity,No,"Bonus,Nonequity incentive compensation",,"Formulaic, based on individual performance",,"Medical,Dental,Short-term disability,Long-term disability,Life insurance",,,No,Other,Not sure,9,No,,No,No,Yes,No,400,2075,Increase,Stay the same,200,287000,Yes,252500,1,,Very satisfied,No,,About the same,,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Extremely important,Highly important,Somewhat important,Somewhat important,Somewhat important,Yes,120,40,3,Product Liability,,United States,Los Angeles,,90025,Male,55,White,Other,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation",,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,10,Yes,"350,000",No,No,Yes,No,460,1750,Decrease,Decrease,450,450000,Yes,0,10,,Somewhat satisfied,Yes,30,About the same,2,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Extremely important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,300,180,8,Environmental,,United States,Other (Please specify),Kansas City,64116,Male,44,White,University of Maryland (Carey),,1
Yes,Yes,Equity,Yes,Other,Modified Lock Step,"Formulaic, based on firm performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,15,Yes,Time and a half,,7,Yes,"325,000",No,Yes,Yes,Yes,325,1890,Increase,Stay the same,165,315000,Yes,315000,,5,Very satisfied,No,,Somewhat more,3,Very satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Very satisfied,Highly important,Somewhat important,Not important,Somewhat important,Somewhat important,Yes,175,91,9,Banking,,United States,Other (Please specify),Northern Rockies,59803,Male,43,White,Other,,1
Yes,Yes,Nonequity,Yes,"Bonus,Other",Share of profits,Entirely discretionary,,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,10,Yes,350000,No,No,Yes,No,700,1500,Decrease,Increase,400,355000,No,0,,-5,Somewhat dissatisfied,Yes,30,Somewhat less,,Mostly dissatisfied,Mostly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Yes,495,100,25,Employment,,United States,Boston,,0,Female,60,White,George Washington University,,1
Yes,Yes,Equity,No,Cashouts,,"Discretionary, based on firm performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,9,No,,No,No,Yes,Yes,625,2050,Decrease,Increase,600,725000,No,0,6,,Very satisfied,Yes,20,About the same,33,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Extremely important,Highly important,Highly important,Highly important,Not important,Yes,900,375,5,Tax,,United States,Atlanta,,30309,Male,47,White,Other,,1
Yes,Yes,Equity,Yes,"Bonus,Stock",,"Formulaic, based on firm performance",,"401K,Medical,Short-term disability,Life insurance",,4.5,No,Organization doesn't compensate for overtime,,7,Yes,175000,No,No,Yes,No,285,1400,Increase,Increase,250,180000,No,165000,,15,Neither satisfied or dissatisfied,No,,About the same,15,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Very satisfied,Very satisfied,Highly important,Highly important,Somewhat important,Somewhat important,Somewhat important,Yes,110,50,3,Real Estate,,United States,Other (Please specify),Tennessee ,37901,Female,64,White,University of Tennessee--Knoxville,,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation,Stock",,"Formulaic, based on individual performance",,"401K,Defined benefit pension plan,Medical,Short-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,10,No,,No,No,Yes,No,250,2100,Stay the same,Stay the same,400,275000,Yes,0,,15,Very satisfied,No,,Somewhat less,0,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Highly important,Highly important,Somewhat important,Highly important,Somewhat important,Yes,100,40,3,Personal Injury,,United States,Other (Please specify),St. Louis,63102,Male,38,White,Saint Louis University,,1
Yes,Yes,Equity,No,,,Entirely discretionary,,"401K,Defined benefit pension plan,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,Yes,Other,Don't know for staff only,9,No,,No,No,Yes,No,1125,1625,Stay the same,Stay the same,700,1075000,Yes,1075000,8,,Somewhat satisfied,No,,About the same,20,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Extremely important,Highly important,Somewhat important,Highly important,Somewhat important,Yes,2000,650,10,Mergers & Acquisitions,,United States,Chicago,,60603,Male,43,White,Harvard University,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation",,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Cash balance pension plan,Medical,Dental,Short-term disability,Life insurance",,0,No,Time and a half,,10,Yes,500000,Yes,Yes,Yes,No,950,1700,Increase,Stay the same,150,1100000,Yes,800000,8,,Very satisfied,Yes,25,Somewhat more,36,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Extremely important,Extremely important,Highly important,Extremely important,Highly important,Yes,1400,600,24,General Litigation,,United States,Miami,,33131,Male,57,Hispanic,University of Miami,,1
Yes,Yes,Equity,No,Bonus,,Entirely discretionary,,"401K,Cash balance pension plan,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Other,Don't know,10,Yes,$2-3 million,No,No,Yes,No,1290,1600,Decrease,Stay the same,1000,1250000,Yes,$1 million,7,,Very satisfied,No,,Much more,0,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Extremely important,Somewhat important,Not important,Not important,Not important,Yes,1500,300,18,Employment,,United States,Denver,,80202,Female,51,White,University of Texas--Austin,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation",,Entirely discretionary,,"401K,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,10,Yes,"400,000",No,No,Yes,No,350,2300,Increase,Stay the same,300,300000,No,0,15,,Very dissatisfied,Yes,20,Much less,10,Very dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Mostly satisfied,Mostly dissatisfied,Highly important,Not important,Not important,Somewhat important,Not important,Yes,180,60,5,Insurance,,United States,Boston,,2110,Male,56,White,Columbia University,,1
Yes,Yes,Nonequity,Yes,Other,Formula based on origination and production,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Comp time,,8,No,,Yes,No,Yes,Yes,535,2200,Decrease,Stay the same,250,260000,No,260000,,25,Somewhat satisfied,No,,Somewhat more,,Mostly satisfied,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Somewhat important,Somewhat important,Not important,Not important,Not important,Yes,250,200,30,Trials,,United States,Other (Please specify),Baltimore,21202,Male,63,White,University of Maryland (Carey),,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation",,Entirely discretionary,,"401K,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Long-term disability,Life insurance,Gym/health club membership",,0,No,Time and a half,,10,Yes,"1,700,000",Yes,Yes,Yes,No,1350,2050,Stay the same,Increase,750,1550000,No,100,,20,Very dissatisfied,No,,Somewhat less,35,Very dissatisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly dissatisfied,Very dissatisfied,Very satisfied,Very dissatisfied,Extremely important,Not important,Not important,Not important,Not important,No,1100,260,13,Real Estate,,United States,Chicago,,60601,Male,56,White,Northwestern University (Pritzker),,1
Yes,Yes,Nonequity,No,"Bonus,Nonequity incentive compensation",,Entirely discretionary,,"401K,Defined benefit pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,No,,No,No,Yes,No,790,2100,Increase,Stay the same,500,500000,Yes,160000,8,,Somewhat satisfied,Yes,20,About the same,,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,No,650,300,6,Real Estate,,United States,Chicago,,60661,Male,39,Asian,Loyola University Chicago,,1
Yes,Yes,Equity,Yes,"Bonus,Stock",,"Discretionary, based on firm performance",,"401K,Defined benefit pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Car allowance,Gym/health club membership",,5,Yes,Organization doesn't compensate for overtime,,10,No,,Yes,Yes,Yes,No,950,1800,Stay the same,Stay the same,400,1500000,No,250000,,0,Neither satisfied or dissatisfied,No,,About the same,4,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Somewhat important,Somewhat important,Somewhat important,Highly important,Somewhat important,Yes,800,250,25,Capital Markets,,United States,New York,,10019,Male,62,White,New York University,,1
Yes,Yes,Nonequity,Yes,"Bonus,Nonequity incentive compensation,Cashouts",,Entirely discretionary,,,,,No,Organization doesn't compensate for overtime,,20,No,,Yes,Yes,No,No,22.22,2160,Decrease,Stay the same,1460,40000,Yes,2000,,30,Very dissatisfied,No,,Somewhat more,,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Not important,Not important,Not important,Not important,Not important,No,100,10,3,Health Care,,Middle East Africa,,,,Male,43,White,Other,,1
Yes,Yes,Nonequity,No,"Bonus,Other",Salary,"Formulaic, based on individual performance",,"401K,Cash balance pension plan,Long-term disability",,0,No,Organization doesn't compensate for overtime,,8,No,,Yes,No,Yes,Yes,875,1625,Increase,Decrease,350,390000,Yes,"$380,000 ",8,,Neither satisfied or dissatisfied,Yes,10,Somewhat less,,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Highly important,Not important,Not important,Not important,Not important,Yes,800,500,16,Commercial Contracts,,United States,Philadelphia,,19103,Male,49,White,Villanova University,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation",,"Formulaic, based on individual performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,4.5,No,Time and a half,,8,Yes,"800,000",Yes,Yes,Yes,No,700,500,Stay the same,Stay the same,2300,2200000,Yes,0,4,,Very satisfied,No,,Much more,30,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Highly important,Extremely important,Somewhat important,Highly important,Somewhat important,Yes,300,150,48,Other (Please specify),corporate,United States,Other (Please specify),detroit,48226,Male,76,White,Harvard University,,1
Yes,Yes,Equity,Yes,"Bonus,Cashouts",,"Formulaic, based on individual performance",,"Cash balance pension plan,Medical,Life insurance,Gym/health club membership",,,No,Organization doesn't compensate for overtime,,10,Yes,"300,000",No,No,Yes,No,475,3000,Stay the same,Decrease,2000,150000,Yes,"50,000",,50,Somewhat dissatisfied,No,,Somewhat less,15,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Yes,100,20,5,Transportation,,Central/Eastern Europe,,,,Undisclosed,50,White,Other,,1
Yes,No,,No,Bonus,,Entirely discretionary,,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Life insurance",,4,No,Organization doesn't compensate for overtime,,7,No,,No,,Yes,Yes,450,1500,Decrease,Increase,200,175000,Yes,175000,16,,Somewhat satisfied,No,,Much less,,Mostly satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Extremely important,Somewhat important,Highly important,Extremely important,Extremely important,No,100,83,1,Employment,,United States,Dallas,,75093,Female,49,White,Other,,1
Yes,Yes,Nonequity,Yes,Bonus,,Other,3 part bonus system with mix of discretionary leadership bonus based on both firm and individual performance and formulaic bonus for production hours and professional hygiene based on individual performance  ,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,Yes,Organization doesn't compensate for overtime,,7,No,,No,No,Yes,No,250,1850,Decrease,Increase,110,170000,No,150000,,-5,Somewhat dissatisfied,Yes,10,Somewhat less,,Mostly dissatisfied,Very dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Extremely important,Extremely important,Somewhat important,Highly important,Extremely important,No,400,257,2,General Litigation,,United States,New York,,10606,Female,33,Mixed race,Harvard University,,1
